"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"BEL","Belgium","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","2021","2021","IDX","Index","0","Units","2015_100","2015=100",111.2559,,
"BEL","Belgium","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","2022","2022","IDX","Index","0","Units","2015_100","2015=100",121.9337,,
"SWE","Sweden","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","2015","2015","IDX","Index","0","Units","2015_100","2015=100",100,,
"SWE","Sweden","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","2016","2016","IDX","Index","0","Units","2015_100","2015=100",100.9843,,
"SWE","Sweden","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","2017","2017","IDX","Index","0","Units","2015_100","2015=100",102.7964,,
"SWE","Sweden","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","2018","2018","IDX","Index","0","Units","2015_100","2015=100",104.8046,,
"SWE","Sweden","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","2019","2019","IDX","Index","0","Units","2015_100","2015=100",106.6745,,
"SWE","Sweden","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","2020","2020","IDX","Index","0","Units","2015_100","2015=100",107.205,,
"SWE","Sweden","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","2021","2021","IDX","Index","0","Units","2015_100","2015=100",109.5241,,
"SWE","Sweden","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","2022","2022","IDX","Index","0","Units","2015_100","2015=100",118.6905,,
"IND","India","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","2015","2015","IDX","Index","0","Units","2015_100","2015=100",100,,
"IND","India","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","2016","2016","IDX","Index","0","Units","2015_100","2015=100",104.941,,
"IND","India","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","2017","2017","IDX","Index","0","Units","2015_100","2015=100",107.555,,
"IND","India","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","2018","2018","IDX","Index","0","Units","2015_100","2015=100",112.7829,,
"IND","India","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","2019","2019","IDX","Index","0","Units","2015_100","2015=100",121.4217,,
"IND","India","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","2020","2020","IDX","Index","0","Units","2015_100","2015=100",128.1744,,
"IND","India","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","2021","2021","IDX","Index","0","Units","2015_100","2015=100",134.4423,,
"IND","India","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","2022","2022","IDX","Index","0","Units","2015_100","2015=100",142.3749,,
"IRL","Ireland","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","2015","2015","IDX","Index","0","Units","2015_100","2015=100",100,,
"IRL","Ireland","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","2016","2016","IDX","Index","0","Units","2015_100","2015=100",100.0083,,
"IRL","Ireland","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","2017","2017","IDX","Index","0","Units","2015_100","2015=100",100.3489,,
"IRL","Ireland","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","2018","2018","IDX","Index","0","Units","2015_100","2015=100",100.8389,,
"IRL","Ireland","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","2019","2019","IDX","Index","0","Units","2015_100","2015=100",101.7859,,
