Country,Time,Value
Hungary,2011,2855170.0
Hungary,2012,2916720.0
Hungary,2013,2936661.0
Hungary,2014,2936455.0
Hungary,2015,2974991.0
Hungary,2016,3031743.0
Hungary,2017,3358916.0
Hungary,2018,3640721.0
Hungary,2019,3934347.0
Hungary,2020,4133323.0
Hungary,2021,4535186.89082497
Hungary,2022,5314265.04859426
Ireland,2000,27331.5585014795
Ireland,2001,29459.3585860953
Ireland,2002,31144.0883866038
Ireland,2003,33195.171774507
Ireland,2004,34886.9498234323
Ireland,2005,36949.0
Ireland,2006,38297.0
Ireland,2007,40628.0
Ireland,2008,42827.0
Ireland,2009,43425.0
Ireland,2010,43033.0
Ireland,2011,42870.0
Ireland,2012,42951.0
Ireland,2013,42328.0
Ireland,2014,42536.0
Ireland,2015,42948.0
Ireland,2016,43741.0
Ireland,2017,44923.0
Ireland,2018,46318.0
Ireland,2019,47879.0
Ireland,2020,49192.0
Ireland,2021,50665.3046642348
Ireland,2022,52970.7845745509
Italy,2000,21254.2592738694
Italy,2001,21952.1736228934
Italy,2002,22437.6667089631
Italy,2003,23061.011055201
Italy,2004,24074.3778316898
Italy,2005,24887.0
Italy,2006,25717.0
Italy,2007,26282.0
Italy,2008,27088.0
Italy,2009,27141.0
Italy,2010,27807.0
Italy,2011,28160.0
Italy,2012,27983.0
Italy,2013,28387.0
Italy,2014,28566.0
Italy,2015,28861.0
Italy,2016,29121.0
Italy,2017,29242.0
Italy,2018,29560.0
Italy,2019,29882.0
Italy,2020,28491.0
Italy,2021,30047.6411225516
Italy,2022,31529.6786593719
Japan,2000,4624653.32646199
Japan,2001,4516562.72619332
Japan,2002,4360804.30624333
Japan,2003,4319816.63230016
Japan,2004,4366306.63432959
Japan,2005,4442873.0
Japan,2006,4439630.0
Japan,2007,4412732.0
Japan,2008,4406731.0
Japan,2009,4247033.0
Japan,2010,4197530.0
Japan,2011,4244886.0
Japan,2012,4149155.0
Japan,2013,4146228.0
Japan,2014,4153939.0
Japan,2015,4157542.0
Japan,2016,4200120.0
Japan,2017,4226544.0
Japan,2018,4304781.0
Japan,2019,4379634.0
Japan,2020,4366907.0
Japan,2021,4455279.00458847
Japan,2022,4522614.46723905
Korea,2000,18830753.7127639
Korea,2001,20311918.6927445
Korea,2002,21667616.0418539
Korea,2003,23195595.3130456
Korea,2004,24457632.8450192
Korea,2005,25745921.0
Korea,2006,26460299.0
Korea,2007,27531223.0
Korea,2008,28642558.0
Korea,2009,29507856.0
Korea,2010,30750506.0
Korea,2011,32260584.0
Korea,2012,32465017.0
Korea,2013,33588901.0
Korea,2014,33978793.0
Korea,2015,35233909.0
Korea,2016,36667683.0
Korea,2017,38178107.0
Korea,2018,39977225.0
Korea,2019,41576683.0
Korea,2020,42988384.0
Korea,2021,44781257.2482263
Korea,2022,46507060.216051
Luxembourg,2000,40450.0199428042
Luxembourg,2001,41699.9604115593
Luxembourg,2002,43173.8062004548
Luxembourg,2003,43903.7323483615
Luxembourg,2004,45429.4621052777
Luxembourg,2005,47134.0
Luxembourg,2006,48941.0
Luxembourg,2007,51345.0
Luxembourg,2008,52675.0
Luxembourg,2009,53731.0
Luxembourg,2010,54841.0
Luxembourg,2011,56773.0
Luxembourg,2012,57392.0
Luxembourg,2013,58993.0
Luxembourg,2014,60435.0
Luxembourg,2015,61274.0
Luxembourg,2016,61538.0
Luxembourg,2017,63694.0
Luxembourg,2018,65177.0
Luxembourg,2019,66409.0
Luxembourg,2020,67607.0
Luxembourg,2021,72323.2737418547
Luxembourg,2022,75691.17737706
Netherlands,2000,32019.4883504916
Netherlands,2001,33540.0405953487
Netherlands,2002,34787.1725603516
Netherlands,2003,35835.1949389611
Netherlands,2004,36912.3455417605
Netherlands,2005,37596.0
Netherlands,2006,38538.0
Netherlands,2007,39877.0
Netherlands,2008,40952.0
Netherlands,2009,42034.0
Netherlands,2010,42687.0
Netherlands,2011,43397.0
Netherlands,2012,44104.0
Netherlands,2013,45153.0
Netherlands,2014,45305.0
Netherlands,2015,45931.0
Netherlands,2016,46382.0
Netherlands,2017,46679.0
Netherlands,2018,47173.0
Netherlands,2019,48059.0
Netherlands,2020,49970.0
Netherlands,2021,50980.6565884393
Netherlands,2022,52276.7067505389
Norway,2000,277322.300152391
Norway,2001,291343.883478533
Norway,2002,306341.933758659
Norway,2003,319195.817333006
Norway,2004,333859.872283829
Norway,2005,347435.0
Norway,2006,367887.0
Norway,2007,389116.0
Norway,2008,411092.0
Norway,2009,425692.0
Norway,2010,440224.0
Norway,2011,460748.0
Norway,2012,478224.0
Norway,2013,497976.0
Norway,2014,511520.0
Norway,2015,526103.0
Norway,2016,533447.0
Norway,2017,542651.0
Norway,2018,558106.0
Norway,2019,581290.0
Norway,2020,591985.0
Norway,2021,625699.877160176
Norway,2022,653316.536469564
Poland,2000,26550.3744023356
Poland,2001,29118.4484914302
Poland,2002,29961.4635281325
Poland,2003,30493.2103641115
Poland,2004,31172.4330518398
Poland,2005,31737.0
Poland,2006,32444.0
Poland,2007,34246.0
Poland,2008,37473.0
Poland,2009,38459.0
Poland,2010,40989.0
Poland,2011,43135.0
Poland,2012,44043.0
Poland,2013,44675.0
Poland,2014,45536.0
Poland,2015,46446.0
Poland,2016,48563.0
Poland,2017,51493.0
Poland,2018,55607.0
Poland,2019,60342.0
Poland,2020,63498.0
Poland,2021,66605.850907327
Poland,2022,75741.1269934975
Portugal,2000,12629.8271789129
Portugal,2001,13165.2423505117
Portugal,2002,13618.8075181048
Portugal,2003,14073.4310887442
Portugal,2004,14421.796139073
Portugal,2005,14892.0
Portugal,2006,15085.0
Portugal,2007,15700.0
Portugal,2008,16083.0
Portugal,2009,16501.0
Portugal,2010,16737.0
Portugal,2011,16608.0
Portugal,2012,16183.0
Portugal,2013,16618.0
Portugal,2014,16368.0
Portugal,2015,16463.0
Portugal,2016,16553.0
Portugal,2017,16878.0
Portugal,2018,17423.0
Portugal,2019,18253.0
