"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"SVK","Slovak Republic","CP030000","CPI: 03 - Clothing and footwear","IXOB","Index","A","Annual","2015","2015","IDX","Index","0","Units","2015_100","2015=100",100,,
"SVK","Slovak Republic","CP030000","CPI: 03 - Clothing and footwear","IXOB","Index","A","Annual","2016","2016","IDX","Index","0","Units","2015_100","2015=100",100.2947,,
"SVK","Slovak Republic","CP030000","CPI: 03 - Clothing and footwear","IXOB","Index","A","Annual","2017","2017","IDX","Index","0","Units","2015_100","2015=100",100.4053,,
"SVK","Slovak Republic","CP030000","CPI: 03 - Clothing and footwear","IXOB","Index","A","Annual","2018","2018","IDX","Index","0","Units","2015_100","2015=100",101.9306,,
"SVK","Slovak Republic","CP030000","CPI: 03 - Clothing and footwear","IXOB","Index","A","Annual","2019","2019","IDX","Index","0","Units","2015_100","2015=100",102.9843,,
"SVK","Slovak Republic","CP030000","CPI: 03 - Clothing and footwear","IXOB","Index","A","Annual","2020","2020","IDX","Index","0","Units","2015_100","2015=100",103.5296,,
"SVK","Slovak Republic","CP030000","CPI: 03 - Clothing and footwear","IXOB","Index","A","Annual","2021","2021","IDX","Index","0","Units","2015_100","2015=100",104.6054,,
"SVK","Slovak Republic","CP030000","CPI: 03 - Clothing and footwear","IXOB","Index","A","Annual","2022","2022","IDX","Index","0","Units","2015_100","2015=100",108.4813,,
"HUN","Hungary","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","2015","2015","IDX","Index","0","Units","2006M12_100","2006M12=100",145.9333,,
"HUN","Hungary","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","2016","2016","IDX","Index","0","Units","2006M12_100","2006M12=100",146.375,,
"HUN","Hungary","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","2017","2017","IDX","Index","0","Units","2006M12_100","2006M12=100",150.2175,,
"HUN","Hungary","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","2018","2018","IDX","Index","0","Units","2006M12_100","2006M12=100",156.2583,,
"HUN","Hungary","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","2019","2019","IDX","Index","0","Units","2006M12_100","2006M12=100",164.2417,,
"HUN","Hungary","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","2020","2020","IDX","Index","0","Units","2006M12_100","2006M12=100",176.15,,
"HUN","Hungary","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","2021","2021","IDX","Index","0","Units","2006M12_100","2006M12=100",182.225,,
"HUN","Hungary","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","2022","2022","IDX","Index","0","Units","2006M12_100","2006M12=100",232.8083,,
"ISR","Israel","CP030000","CPI: 03 - Clothing and footwear","GP","Percentage change from previous period","A","Annual","2015","2015","PC","Percentage","0","Units",,,-1.234805,,
"ISR","Israel","CP030000","CPI: 03 - Clothing and footwear","GP","Percentage change from previous period","A","Annual","2016","2016","PC","Percentage","0","Units",,,-0.2461618,,
"ISR","Israel","CP030000","CPI: 03 - Clothing and footwear","GP","Percentage change from previous period","A","Annual","2017","2017","PC","Percentage","0","Units",,,-3.461264,,
"ISR","Israel","CP030000","CPI: 03 - Clothing and footwear","GP","Percentage change from previous period","A","Annual","2018","2018","PC","Percentage","0","Units",,,-3.948607,,
"ISR","Israel","CP030000","CPI: 03 - Clothing and footwear","GP","Percentage change from previous period","A","Annual","2019","2019","PC","Percentage","0","Units",,,-1.491701,,
"ISR","Israel","CP030000","CPI: 03 - Clothing and footwear","GP","Percentage change from previous period","A","Annual","2020","2020","PC","Percentage","0","Units",,,-5.737239,,
"ISR","Israel","CP030000","CPI: 03 - Clothing and footwear","GP","Percentage change from previous period","A","Annual","2021","2021","PC","Percentage","0","Units",,,-4.86462,,
"ISR","Israel","CP030000","CPI: 03 - Clothing and footwear","GP","Percentage change from previous period","A","Annual","2022","2022","PC","Percentage","0","Units",,,-4.875535,,
"SAU","Saudi Arabia","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","2015","2015","PC","Percentage","0","Units",,,1.206073,,
"SAU","Saudi Arabia","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","2016","2016","PC","Percentage","0","Units",,,2.06884,,
