Subject,Country,Year,CPI
"CPI: 04 - Housing, water, electricity, gas and other fuels",Finland,2018,103.4325
"CPI: 04 - Housing, water, electricity, gas and other fuels",Finland,2019,105.3583
"CPI: 04 - Housing, water, electricity, gas and other fuels",Finland,2020,105.5233
"CPI: 04 - Housing, water, electricity, gas and other fuels",Finland,2021,108.7842
"CPI: 04 - Housing, water, electricity, gas and other fuels",Finland,2022,118.9025
CPI: 03 - Clothing and footwear,Latvia,2015,100.0
CPI: 03 - Clothing and footwear,Latvia,2016,99.97022
CPI: 03 - Clothing and footwear,Latvia,2017,98.04916
CPI: 03 - Clothing and footwear,Latvia,2018,98.69421
CPI: 03 - Clothing and footwear,Latvia,2019,100.1342
CPI: 03 - Clothing and footwear,Latvia,2020,99.29617
CPI: 03 - Clothing and footwear,Latvia,2021,100.8659
CPI: 03 - Clothing and footwear,Latvia,2022,105.601
"CPI: 04 - Housing, water, electricity, gas and other fuels",Estonia,2015,100.0
"CPI: 04 - Housing, water, electricity, gas and other fuels",Estonia,2016,98.27139
"CPI: 04 - Housing, water, electricity, gas and other fuels",Estonia,2017,100.3826
"CPI: 04 - Housing, water, electricity, gas and other fuels",Estonia,2018,106.6924
"CPI: 04 - Housing, water, electricity, gas and other fuels",Estonia,2019,109.7928
"CPI: 04 - Housing, water, electricity, gas and other fuels",Estonia,2020,105.7059
"CPI: 04 - Housing, water, electricity, gas and other fuels",Estonia,2021,119.2243
"CPI: 04 - Housing, water, electricity, gas and other fuels",Estonia,2022,179.8456
CPI: 01 - Food and non-Alcoholic beverages,Mexico,2015,100.0
CPI: 01 - Food and non-Alcoholic beverages,Mexico,2016,104.4697
CPI: 01 - Food and non-Alcoholic beverages,Mexico,2017,111.747
CPI: 01 - Food and non-Alcoholic beverages,Mexico,2018,117.1061
CPI: 01 - Food and non-Alcoholic beverages,Mexico,2019,122.245
CPI: 01 - Food and non-Alcoholic beverages,Mexico,2020,130.3394
CPI: 01 - Food and non-Alcoholic beverages,Mexico,2021,139.7644
CPI: 01 - Food and non-Alcoholic beverages,Mexico,2022,158.2999
CPI: 03 - Clothing and footwear,South Africa,2015,100.0
CPI: 03 - Clothing and footwear,South Africa,2016,105.0319
CPI: 03 - Clothing and footwear,South Africa,2017,108.5446
CPI: 03 - Clothing and footwear,South Africa,2018,110.4509
CPI: 03 - Clothing and footwear,South Africa,2019,112.7056
CPI: 03 - Clothing and footwear,South Africa,2020,113.6927
CPI: 03 - Clothing and footwear,South Africa,2021,115.3377
CPI: 03 - Clothing and footwear,South Africa,2022,117.8827
CPI: 03 - Clothing and footwear,Switzerland,2015,100.0
CPI: 03 - Clothing and footwear,Switzerland,2016,101.3395
CPI: 03 - Clothing and footwear,Switzerland,2017,104.2184
CPI: 03 - Clothing and footwear,Switzerland,2018,105.9044
CPI: 03 - Clothing and footwear,Switzerland,2019,107.9623
CPI: 03 - Clothing and footwear,Switzerland,2020,108.2833
CPI: 03 - Clothing and footwear,Switzerland,2021,107.7994
CPI: 03 - Clothing and footwear,Switzerland,2022,109.9482
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",Hungary,2015,100.0
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",Hungary,2016,102.1406
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",Hungary,2017,107.387
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",Hungary,2018,113.8978
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",Hungary,2019,123.5189
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",Hungary,2020,132.8526
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",Hungary,2021,148.8316
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",Hungary,2022,163.2862
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",Norway,2015,100.0
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",Norway,2016,103.3
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",Norway,2017,105.425
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",Norway,2018,107.6917
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",Norway,2019,110.6333
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",Norway,2020,113.625
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",Norway,2021,111.45
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",Norway,2022,115.6
CPI: 01 - Food and non-Alcoholic beverages,Czech Republic,2015,99.98333
CPI: 01 - Food and non-Alcoholic beverages,Czech Republic,2016,99.05
CPI: 01 - Food and non-Alcoholic beverages,Czech Republic,2017,104.1833
CPI: 01 - Food and non-Alcoholic beverages,Czech Republic,2018,105.55
CPI: 01 - Food and non-Alcoholic beverages,Czech Republic,2019,108.525
CPI: 01 - Food and non-Alcoholic beverages,Czech Republic,2020,113.45
CPI: 01 - Food and non-Alcoholic beverages,Czech Republic,2021,114.3583
CPI: 01 - Food and non-Alcoholic beverages,Czech Republic,2022,133.45
CPI: 01-12 - All items,United Kingdom,2015,100.0
CPI: 01-12 - All items,United Kingdom,2016,101.0
CPI: 01-12 - All items,United Kingdom,2017,103.6
CPI: 01-12 - All items,United Kingdom,2018,106.0
CPI: 01-12 - All items,United Kingdom,2019,107.8
CPI: 01-12 - All items,United Kingdom,2020,108.9
CPI: 01-12 - All items,United Kingdom,2021,111.6
CPI: 01-12 - All items,United Kingdom,2022,120.5
CPI: 03 - Clothing and footwear,Israel,2015,100.0
CPI: 03 - Clothing and footwear,Israel,2016,99.75384
CPI: 03 - Clothing and footwear,Israel,2017,96.30109
CPI: 03 - Clothing and footwear,Israel,2018,92.49854
CPI: 03 - Clothing and footwear,Israel,2019,91.11874
CPI: 03 - Clothing and footwear,Israel,2020,85.89104
CPI: 03 - Clothing and footwear,Israel,2021,81.71277
CPI: 03 - Clothing and footwear,Israel,2022,77.72884
CPI: 01 - Food and non-Alcoholic beverages,Israel,2015,100.0
CPI: 01 - Food and non-Alcoholic beverages,Israel,2016,98.75793
CPI: 01 - Food and non-Alcoholic beverages,Israel,2017,98.78474
CPI: 01 - Food and non-Alcoholic beverages,Israel,2018,99.70512
CPI: 01 - Food and non-Alcoholic beverages,Israel,2019,101.7782
CPI: 01 - Food and non-Alcoholic beverages,Israel,2020,101.7603
CPI: 01 - Food and non-Alcoholic beverages,Israel,2021,102.7701
CPI: 01 - Food and non-Alcoholic beverages,Israel,2022,107.238
CPI: 01-12 - All items,Belgium,2015,100.0
CPI: 01-12 - All items,Belgium,2016,101.9739
CPI: 01-12 - All items,Belgium,2017,104.1418
CPI: 01-12 - All items,Belgium,2018,106.28
CPI: 01-12 - All items,Belgium,2019,107.807
CPI: 01-12 - All items,Belgium,2020,108.6057
CPI: 01-12 - All items,Belgium,2021,111.2559
CPI: 01-12 - All items,Belgium,2022,121.9337
"CPI: 04 - Housing, water, electricity, gas and other fuels",New Zealand,2015,100.0
"CPI: 04 - Housing, water, electricity, gas and other fuels",New Zealand,2016,103.1825
"CPI: 04 - Housing, water, electricity, gas and other fuels",New Zealand,2017,106.3654
"CPI: 04 - Housing, water, electricity, gas and other fuels",New Zealand,2018,109.6457
"CPI: 04 - Housing, water, electricity, gas and other fuels",New Zealand,2019,112.8752
"CPI: 04 - Housing, water, electricity, gas and other fuels",New Zealand,2020,116.1842
"CPI: 04 - Housing, water, electricity, gas and other fuels",New Zealand,2021,122.0344
"CPI: 04 - Housing, water, electricity, gas and other fuels",New Zealand,2022,132.5437
"CPI: 04 - Housing, water, electricity, gas and other fuels",Italy,2015,99.97807
"CPI: 04 - Housing, water, electricity, gas and other fuels",Italy,2016,98.34167
"CPI: 04 - Housing, water, electricity, gas and other fuels",Italy,2017,100.0833
"CPI: 04 - Housing, water, electricity, gas and other fuels",Italy,2018,102.6333
"CPI: 04 - Housing, water, electricity, gas and other fuels",Italy,2019,103.8833
"CPI: 04 - Housing, water, electricity, gas and other fuels",Italy,2020,100.45
"CPI: 04 - Housing, water, electricity, gas and other fuels",Italy,2021,107.45
"CPI: 04 - Housing, water, electricity, gas and other fuels",Italy,2022,145.0667
CPI: 03 - Clothing and footwear,Russia,2015,100.0
CPI: 03 - Clothing and footwear,Russia,2016,109.4022
CPI: 03 - Clothing and footwear,Russia,2017,114.8288
CPI: 03 - Clothing and footwear,Russia,2018,117.6232
CPI: 03 - Clothing and footwear,Russia,2019,120.1527
CPI: 03 - Clothing and footwear,Russia,2020,122.0284
CPI: 03 - Clothing and footwear,Russia,2021,125.0118
CPI: 03 - Clothing and footwear,France,2015,99.99917
CPI: 03 - Clothing and footwear,France,2016,100.1908
CPI: 03 - Clothing and footwear,France,2017,100.2483
CPI: 03 - Clothing and footwear,France,2018,100.4083
CPI: 03 - Clothing and footwear,France,2019,100.1625
CPI: 03 - Clothing and footwear,France,2020,99.7125
CPI: 03 - Clothing and footwear,France,2021,99.86584
CPI: 03 - Clothing and footwear,France,2022,102.5633
CPI: 01-12 - All items,Sweden,2015,100.0
CPI: 01-12 - All items,Sweden,2016,100.9843
CPI: 01-12 - All items,Sweden,2017,102.7964
CPI: 01-12 - All items,Sweden,2018,104.8046
CPI: 01-12 - All items,Sweden,2019,106.6745
CPI: 01-12 - All items,Sweden,2020,107.205
CPI: 01-12 - All items,Sweden,2021,109.5241
CPI: 01-12 - All items,Sweden,2022,118.6905
"CPI: 04 - Housing, water, electricity, gas and other fuels",Portugal,2015,100.0
"CPI: 04 - Housing, water, electricity, gas and other fuels",Portugal,2016,100.3888
"CPI: 04 - Housing, water, electricity, gas and other fuels",Portugal,2017,100.9825
"CPI: 04 - Housing, water, electricity, gas and other fuels",Portugal,2018,103.1907
"CPI: 04 - Housing, water, electricity, gas and other fuels",Portugal,2019,103.4868
"CPI: 04 - Housing, water, electricity, gas and other fuels",Portugal,2020,103.5643
"CPI: 04 - Housing, water, electricity, gas and other fuels",Portugal,2021,105.2654
"CPI: 04 - Housing, water, electricity, gas and other fuels",Portugal,2022,118.7848
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",Costa Rica,2015,100.0
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",Costa Rica,2016,101.3032
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",Costa Rica,2017,103.8702
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",Costa Rica,2018,107.2306
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",Costa Rica,2019,111.1939
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",Costa Rica,2020,113.5554
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",Costa Rica,2021,113.6115
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",Slovenia,2015,99.99917
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",Slovenia,2016,100.2675
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",Slovenia,2017,102.5092
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",Slovenia,2018,104.3117
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",Slovenia,2019,105.3667
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",Slovenia,2020,107.1725
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",Slovenia,2021,110.6367
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",Slovenia,2022,116.2767
"CPI: 04 - Housing, water, electricity, gas and other fuels",Australia,2015,100.0
"CPI: 04 - Housing, water, electricity, gas and other fuels",Australia,2016,101.6803
"CPI: 04 - Housing, water, electricity, gas and other fuels",Australia,2017,104.6208
"CPI: 04 - Housing, water, electricity, gas and other fuels",Australia,2018,107.075
"CPI: 04 - Housing, water, electricity, gas and other fuels",Australia,2019,107.6056
"CPI: 04 - Housing, water, electricity, gas and other fuels",Australia,2020,107.4729
"CPI: 04 - Housing, water, electricity, gas and other fuels",Australia,2021,108.6005
"CPI: 04 - Housing, water, electricity, gas and other fuels",Australia,2022,118.6381
CPI: 01 - Food and non-Alcoholic beverages,France,2015,100.0
CPI: 01 - Food and non-Alcoholic beverages,France,2016,100.5542
CPI: 01 - Food and non-Alcoholic beverages,France,2017,101.6475
CPI: 01 - Food and non-Alcoholic beverages,France,2018,103.6475
CPI: 01 - Food and non-Alcoholic beverages,France,2019,106.1858
CPI: 01 - Food and non-Alcoholic beverages,France,2020,108.3325
CPI: 01 - Food and non-Alcoholic beverages,France,2021,108.9983
CPI: 01 - Food and non-Alcoholic beverages,France,2022,116.9308
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",Slovak Republic,2015,100.0
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",Slovak Republic,2016,100.5697
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",Slovak Republic,2017,102.6461
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",Slovak Republic,2018,104.3174
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",Slovak Republic,2019,107.0943
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",Slovak Republic,2020,108.2422
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",Slovak Republic,2021,115.7291
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",Slovak Republic,2022,123.5619
CPI: 03 - Clothing and footwear,Luxembourg,2015,100.0008
CPI: 03 - Clothing and footwear,Luxembourg,2016,101.165
CPI: 03 - Clothing and footwear,Luxembourg,2017,102.4975
CPI: 03 - Clothing and footwear,Luxembourg,2018,103.2325
CPI: 03 - Clothing and footwear,Luxembourg,2019,104.2908
CPI: 03 - Clothing and footwear,Luxembourg,2020,105.2358
CPI: 03 - Clothing and footwear,Luxembourg,2021,106.1333
CPI: 03 - Clothing and footwear,Luxembourg,2022,108.0517
CPI: 01 - Food and non-Alcoholic beverages,Chile,2015,100.0
CPI: 01 - Food and non-Alcoholic beverages,Chile,2016,103.8189
CPI: 01 - Food and non-Alcoholic beverages,Chile,2017,105.9065
CPI: 01 - Food and non-Alcoholic beverages,Chile,2018,109.1404
CPI: 01 - Food and non-Alcoholic beverages,Chile,2019,111.9442
CPI: 01 - Food and non-Alcoholic beverages,Chile,2020,119.4881
CPI: 01 - Food and non-Alcoholic beverages,Chile,2021,125.9477
CPI: 01 - Food and non-Alcoholic beverages,Chile,2022,148.2669
CPI: 03 - Clothing and footwear,United States,2015,100.0
CPI: 03 - Clothing and footwear,United States,2016,99.97731
CPI: 03 - Clothing and footwear,United States,2017,99.60408
CPI: 03 - Clothing and footwear,United States,2018,99.92992
CPI: 03 - Clothing and footwear,United States,2019,99.01496
CPI: 03 - Clothing and footwear,United States,2020,94.60566
CPI: 03 - Clothing and footwear,United States,2021,96.87054
CPI: 03 - Clothing and footwear,United States,2022,102.1163
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",Israel,2015,100.0
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",Israel,2016,101.4585
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",Israel,2017,103.4231
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",Israel,2018,103.1657
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",Israel,2019,102.548
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",Israel,2020,101.0124
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",Israel,2021,101.0124
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",Israel,2022,102.9513
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",Switzerland,2015,100.0
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",Switzerland,2016,99.54554
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",Switzerland,2017,99.99962
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",Switzerland,2018,100.6673
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",Switzerland,2019,101.4654
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",Switzerland,2020,102.4394
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",Switzerland,2021,102.7633
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",Switzerland,2022,104.3466
"CPI: 04 - Housing, water, electricity, gas and other fuels",Latvia,2015,100.0
"CPI: 04 - Housing, water, electricity, gas and other fuels",Latvia,2016,97.07968
"CPI: 04 - Housing, water, electricity, gas and other fuels",Latvia,2017,99.09087
"CPI: 04 - Housing, water, electricity, gas and other fuels",Latvia,2018,103.1517
"CPI: 04 - Housing, water, electricity, gas and other fuels",Latvia,2019,107.8831
"CPI: 04 - Housing, water, electricity, gas and other fuels",Latvia,2020,105.2789
"CPI: 04 - Housing, water, electricity, gas and other fuels",Latvia,2021,110.0928
"CPI: 04 - Housing, water, electricity, gas and other fuels",Latvia,2022,148.7644
CPI: 01-12 - All items,India,2015,100.0
CPI: 01-12 - All items,India,2016,104.941
CPI: 01-12 - All items,India,2017,107.555
CPI: 01-12 - All items,India,2018,112.7829
CPI: 01-12 - All items,India,2019,121.4217
CPI: 01-12 - All items,India,2020,128.1744
CPI: 01-12 - All items,India,2021,134.4423
CPI: 01-12 - All items,India,2022,142.3749
CPI: 01 - Food and non-Alcoholic beverages,Norway,2015,99.98333
CPI: 01 - Food and non-Alcoholic beverages,Norway,2016,102.5583
CPI: 01 - Food and non-Alcoholic beverages,Norway,2017,102.5667
CPI: 01 - Food and non-Alcoholic beverages,Norway,2018,105.1583
CPI: 01 - Food and non-Alcoholic beverages,Norway,2019,106.275
CPI: 01 - Food and non-Alcoholic beverages,Norway,2020,109.7417
CPI: 01 - Food and non-Alcoholic beverages,Norway,2021,107.5167
CPI: 01 - Food and non-Alcoholic beverages,Norway,2022,114.5
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",Czech Republic,2015,100.0083
