Subject,Country,Year,CPI
CPI: 01-12 - All items,Saudi Arabia,2016,102.0688
CPI: 01-12 - All items,Saudi Arabia,2017,101.2133
CPI: 01-12 - All items,Saudi Arabia,2018,103.7013
CPI: 01-12 - All items,Saudi Arabia,2019,101.5305
CPI: 01-12 - All items,Saudi Arabia,2020,105.0286
CPI: 01-12 - All items,Saudi Arabia,2021,108.246
CPI: 01-12 - All items,Saudi Arabia,2022,110.9241
CPI: 01-12 - All items,Hungary,2015,100.0
CPI: 01-12 - All items,Hungary,2016,100.3948
CPI: 01-12 - All items,Hungary,2017,102.7523
CPI: 01-12 - All items,Hungary,2018,105.681
CPI: 01-12 - All items,Hungary,2019,109.2092
CPI: 01-12 - All items,Hungary,2020,112.8423
CPI: 01-12 - All items,Hungary,2021,118.6097
CPI: 01-12 - All items,Hungary,2022,135.9363
"CPI: 04 - Housing, water, electricity, gas and other fuels",Denmark,2015,100.0
"CPI: 04 - Housing, water, electricity, gas and other fuels",Denmark,2016,100.8083
"CPI: 04 - Housing, water, electricity, gas and other fuels",Denmark,2017,102.05
"CPI: 04 - Housing, water, electricity, gas and other fuels",Denmark,2018,103.25
"CPI: 04 - Housing, water, electricity, gas and other fuels",Denmark,2019,104.0583
"CPI: 04 - Housing, water, electricity, gas and other fuels",Denmark,2020,104.325
"CPI: 04 - Housing, water, electricity, gas and other fuels",Denmark,2021,107.1083
"CPI: 04 - Housing, water, electricity, gas and other fuels",Denmark,2022,117.725
CPI: 03 - Clothing and footwear,Korea,2015,100.0
CPI: 03 - Clothing and footwear,Korea,2016,101.7967
CPI: 03 - Clothing and footwear,Korea,2017,102.9009
CPI: 03 - Clothing and footwear,Korea,2018,104.0416
CPI: 03 - Clothing and footwear,Korea,2019,104.1476
CPI: 03 - Clothing and footwear,Korea,2020,104.9134
CPI: 03 - Clothing and footwear,Korea,2021,105.4982
CPI: 03 - Clothing and footwear,Korea,2022,108.81
CPI: 03 - Clothing and footwear,Mexico,2015,100.0
CPI: 03 - Clothing and footwear,Mexico,2016,103.2053
CPI: 03 - Clothing and footwear,Mexico,2017,107.4632
CPI: 03 - Clothing and footwear,Mexico,2018,110.356
CPI: 03 - Clothing and footwear,Mexico,2019,112.9034
CPI: 03 - Clothing and footwear,Mexico,2020,113.5805
CPI: 03 - Clothing and footwear,Mexico,2021,117.9948
CPI: 03 - Clothing and footwear,Mexico,2022,124.8524
CPI: 01-12 - All items,Slovenia,2015,100.0008
CPI: 01-12 - All items,Slovenia,2016,99.94583
CPI: 01-12 - All items,Slovenia,2017,101.3742
CPI: 01-12 - All items,Slovenia,2018,103.1367
CPI: 01-12 - All items,Slovenia,2019,104.8183
CPI: 01-12 - All items,Slovenia,2020,104.7608
CPI: 01-12 - All items,Slovenia,2021,106.7692
CPI: 01-12 - All items,Slovenia,2022,116.2008
CPI: 01 - Food and non-Alcoholic beverages,Denmark,2015,100.0083
CPI: 01 - Food and non-Alcoholic beverages,Denmark,2016,100.1083
CPI: 01 - Food and non-Alcoholic beverages,Denmark,2017,102.9167
CPI: 01 - Food and non-Alcoholic beverages,Denmark,2018,102.9583
CPI: 01 - Food and non-Alcoholic beverages,Denmark,2019,104.3917
CPI: 01 - Food and non-Alcoholic beverages,Denmark,2020,105.0583
CPI: 01 - Food and non-Alcoholic beverages,Denmark,2021,105.6667
CPI: 01 - Food and non-Alcoholic beverages,Denmark,2022,117.8333
"CPI: 04 - Housing, water, electricity, gas and other fuels",Norway,2015,99.99167
"CPI: 04 - Housing, water, electricity, gas and other fuels",Norway,2016,104.4833
"CPI: 04 - Housing, water, electricity, gas and other fuels",Norway,2017,107.6
"CPI: 04 - Housing, water, electricity, gas and other fuels",Norway,2018,112.9917
"CPI: 04 - Housing, water, electricity, gas and other fuels",Norway,2019,115.1667
"CPI: 04 - Housing, water, electricity, gas and other fuels",Norway,2020,111.15
"CPI: 04 - Housing, water, electricity, gas and other fuels",Norway,2021,122.2583
"CPI: 04 - Housing, water, electricity, gas and other fuels",Norway,2022,130.4667
CPI: 01 - Food and non-Alcoholic beverages,Germany,2015,100.0
CPI: 01 - Food and non-Alcoholic beverages,Germany,2016,100.8083
CPI: 01 - Food and non-Alcoholic beverages,Germany,2017,103.5917
CPI: 01 - Food and non-Alcoholic beverages,Germany,2018,105.9583
CPI: 01 - Food and non-Alcoholic beverages,Germany,2019,107.2333
CPI: 01 - Food and non-Alcoholic beverages,Germany,2020,109.5286
CPI: 01 - Food and non-Alcoholic beverages,Germany,2021,112.9148
CPI: 01 - Food and non-Alcoholic beverages,Germany,2022,127.0988
CPI: 01-12 - All items,United States,2015,100.0
CPI: 01-12 - All items,United States,2016,101.2616
CPI: 01-12 - All items,United States,2017,103.4186
CPI: 01-12 - All items,United States,2018,105.9446
CPI: 01-12 - All items,United States,2019,107.8646
CPI: 01-12 - All items,United States,2020,109.1952
CPI: 01-12 - All items,United States,2021,114.325
CPI: 01-12 - All items,United States,2022,123.4742
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",Iceland,2015,100.0
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",Iceland,2016,101.734
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",Iceland,2017,106.2913
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",Iceland,2018,109.1245
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",Iceland,2019,111.586
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",Iceland,2020,116.0383
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",Iceland,2021,119.8734
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",Iceland,2022,123.3903
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",Spain,2015,100.0
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",Spain,2016,100.4927
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",Spain,2017,102.1978
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",Spain,2018,104.1004
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",Spain,2019,104.7983
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",Spain,2020,105.3641
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",Spain,2021,105.6816
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",Spain,2022,109.7689
CPI: 01-12 - All items,Finland,2015,99.995
CPI: 01-12 - All items,Finland,2016,100.3517
CPI: 01-12 - All items,Finland,2017,101.1083
CPI: 01-12 - All items,Finland,2018,102.2042
CPI: 01-12 - All items,Finland,2019,103.2508
CPI: 01-12 - All items,Finland,2020,103.5508
CPI: 01-12 - All items,Finland,2021,105.8233
CPI: 01-12 - All items,Finland,2022,113.3617
"CPI: 04 - Housing, water, electricity, gas and other fuels",Slovak Republic,2015,100.0
"CPI: 04 - Housing, water, electricity, gas and other fuels",Slovak Republic,2016,98.58217
"CPI: 04 - Housing, water, electricity, gas and other fuels",Slovak Republic,2017,97.15745
"CPI: 04 - Housing, water, electricity, gas and other fuels",Slovak Republic,2018,99.15137
"CPI: 04 - Housing, water, electricity, gas and other fuels",Slovak Republic,2019,103.0116
"CPI: 04 - Housing, water, electricity, gas and other fuels",Slovak Republic,2020,105.692
"CPI: 04 - Housing, water, electricity, gas and other fuels",Slovak Republic,2021,107.0063
"CPI: 04 - Housing, water, electricity, gas and other fuels",Slovak Republic,2022,123.6063
"CPI: 04 - Housing, water, electricity, gas and other fuels",Slovenia,2015,100.0
"CPI: 04 - Housing, water, electricity, gas and other fuels",Slovenia,2016,99.02084
"CPI: 04 - Housing, water, electricity, gas and other fuels",Slovenia,2017,101.5417
"CPI: 04 - Housing, water, electricity, gas and other fuels",Slovenia,2018,105.62
"CPI: 04 - Housing, water, electricity, gas and other fuels",Slovenia,2019,109.9742
"CPI: 04 - Housing, water, electricity, gas and other fuels",Slovenia,2020,108.7492
"CPI: 04 - Housing, water, electricity, gas and other fuels",Slovenia,2021,114.5083
"CPI: 04 - Housing, water, electricity, gas and other fuels",Slovenia,2022,131.3367
CPI: 01-12 - All items,South Africa,2015,100.0
CPI: 01-12 - All items,South Africa,2016,106.5714
CPI: 01-12 - All items,South Africa,2017,112.0963
CPI: 01-12 - All items,South Africa,2018,117.1599
CPI: 01-12 - All items,South Africa,2019,121.9872
CPI: 01-12 - All items,South Africa,2020,125.903
CPI: 01-12 - All items,South Africa,2021,131.7092
CPI: 01-12 - All items,South Africa,2022,140.9812
CPI: 01-12 - All items,Indonesia,2015,100.0
CPI: 01-12 - All items,Indonesia,2016,103.5258
CPI: 01-12 - All items,Indonesia,2017,107.4689
CPI: 01-12 - All items,Indonesia,2018,110.9061
CPI: 01-12 - All items,Indonesia,2019,114.2672
CPI: 01-12 - All items,Indonesia,2020,116.4623
CPI: 01-12 - All items,Indonesia,2021,118.2792
CPI: 01-12 - All items,Indonesia,2022,123.2581
CPI: 01-12 - All items,Luxembourg,2015,100.0
CPI: 01-12 - All items,Luxembourg,2016,100.2908
CPI: 01-12 - All items,Luxembourg,2017,102.0267
CPI: 01-12 - All items,Luxembourg,2018,103.5858
CPI: 01-12 - All items,Luxembourg,2019,105.3917
CPI: 01-12 - All items,Luxembourg,2020,106.2558
CPI: 01-12 - All items,Luxembourg,2021,108.9408
CPI: 01-12 - All items,Luxembourg,2022,115.8433
CPI: 03 - Clothing and footwear,Chile,2015,100.0
CPI: 03 - Clothing and footwear,Chile,2016,99.82848
CPI: 03 - Clothing and footwear,Chile,2017,94.70119
CPI: 03 - Clothing and footwear,Chile,2018,89.57245
CPI: 03 - Clothing and footwear,Chile,2019,87.88062
CPI: 03 - Clothing and footwear,Chile,2020,86.65446
CPI: 03 - Clothing and footwear,Chile,2021,87.76166
CPI: 03 - Clothing and footwear,Chile,2022,88.48933
CPI: 01-12 - All items,Latvia,2015,100.0
CPI: 01-12 - All items,Latvia,2016,100.1406
CPI: 01-12 - All items,Latvia,2017,103.0751
CPI: 01-12 - All items,Latvia,2018,105.6875
CPI: 01-12 - All items,Latvia,2019,108.6588
CPI: 01-12 - All items,Latvia,2020,108.8969
CPI: 01-12 - All items,Latvia,2021,112.4641
CPI: 01-12 - All items,Latvia,2022,131.932
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",Finland,2015,99.99583
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",Finland,2016,101.025
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",Finland,2017,104.1008
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",Finland,2018,110.5275
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",Finland,2019,114.7642
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",Finland,2020,118.5142
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",Finland,2021,123.9
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",Finland,2022,128.2208
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",Luxembourg,2015,99.99834
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",Luxembourg,2016,101.7258
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",Luxembourg,2017,103.3508
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",Luxembourg,2018,104.9833
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",Luxembourg,2019,107.3408
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",Luxembourg,2020,109.2917
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",Luxembourg,2021,110.9558
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",Luxembourg,2022,114.1883
"CPI: 04 - Housing, water, electricity, gas and other fuels",Ireland,2015,100.0
"CPI: 04 - Housing, water, electricity, gas and other fuels",Ireland,2016,99.54913
"CPI: 04 - Housing, water, electricity, gas and other fuels",Ireland,2017,101.5697
"CPI: 04 - Housing, water, electricity, gas and other fuels",Ireland,2018,106.763
"CPI: 04 - Housing, water, electricity, gas and other fuels",Ireland,2019,110.804
"CPI: 04 - Housing, water, electricity, gas and other fuels",Ireland,2020,109.6602
"CPI: 04 - Housing, water, electricity, gas and other fuels",Ireland,2021,115.847
"CPI: 04 - Housing, water, electricity, gas and other fuels",Ireland,2022,139.7178
"CPI: 04 - Housing, water, electricity, gas and other fuels",Sweden,2015,100.0
"CPI: 04 - Housing, water, electricity, gas and other fuels",Sweden,2016,100.8477
"CPI: 04 - Housing, water, electricity, gas and other fuels",Sweden,2017,103.3462
"CPI: 04 - Housing, water, electricity, gas and other fuels",Sweden,2018,107.1955
"CPI: 04 - Housing, water, electricity, gas and other fuels",Sweden,2019,110.3233
"CPI: 04 - Housing, water, electricity, gas and other fuels",Sweden,2020,110.1828
"CPI: 04 - Housing, water, electricity, gas and other fuels",Sweden,2021,114.7964
"CPI: 04 - Housing, water, electricity, gas and other fuels",Sweden,2022,128.2928
CPI: 03 - Clothing and footwear,New Zealand,2015,100.0
CPI: 03 - Clothing and footwear,New Zealand,2016,100.7585
CPI: 03 - Clothing and footwear,New Zealand,2017,100.7843
CPI: 03 - Clothing and footwear,New Zealand,2018,99.74953
CPI: 03 - Clothing and footwear,New Zealand,2019,99.69907
CPI: 03 - Clothing and footwear,New Zealand,2020,98.81588
CPI: 03 - Clothing and footwear,New Zealand,2021,101.3393
CPI: 03 - Clothing and footwear,New Zealand,2022,103.0047
CPI: 03 - Clothing and footwear,Greece,2015,100.0
CPI: 03 - Clothing and footwear,Greece,2016,97.2153
CPI: 03 - Clothing and footwear,Greece,2017,96.04716
CPI: 03 - Clothing and footwear,Greece,2018,95.28597
CPI: 03 - Clothing and footwear,Greece,2019,94.66924
CPI: 03 - Clothing and footwear,Greece,2020,95.53809
CPI: 03 - Clothing and footwear,Greece,2021,93.62004
CPI: 03 - Clothing and footwear,Greece,2022,98.45081
CPI: 01 - Food and non-Alcoholic beverages,Slovak Republic,2015,100.0
CPI: 01 - Food and non-Alcoholic beverages,Slovak Republic,2016,97.21796
CPI: 01 - Food and non-Alcoholic beverages,Slovak Republic,2017,101.0786
CPI: 01 - Food and non-Alcoholic beverages,Slovak Republic,2018,105.0159
CPI: 01 - Food and non-Alcoholic beverages,Slovak Republic,2019,109.2184
CPI: 01 - Food and non-Alcoholic beverages,Slovak Republic,2020,111.971
CPI: 01 - Food and non-Alcoholic beverages,Slovak Republic,2021,114.0163
CPI: 01 - Food and non-Alcoholic beverages,Slovak Republic,2022,135.2529
CPI: 01-12 - All items,Iceland,2015,100.0
CPI: 01-12 - All items,Iceland,2016,101.6969
CPI: 01-12 - All items,Iceland,2017,103.4872
CPI: 01-12 - All items,Iceland,2018,106.2637
CPI: 01-12 - All items,Iceland,2019,109.4665
CPI: 01-12 - All items,Iceland,2020,112.584
CPI: 01-12 - All items,Iceland,2021,117.5875
CPI: 01-12 - All items,Iceland,2022,127.3575
CPI: 03 - Clothing and footwear,Portugal,2015,100.0
CPI: 03 - Clothing and footwear,Portugal,2016,99.6063
CPI: 03 - Clothing and footwear,Portugal,2017,97.22265
CPI: 03 - Clothing and footwear,Portugal,2018,93.84537
CPI: 03 - Clothing and footwear,Portugal,2019,91.03324
CPI: 03 - Clothing and footwear,Portugal,2020,87.94092
CPI: 03 - Clothing and footwear,Portugal,2021,87.78087
CPI: 03 - Clothing and footwear,Portugal,2022,88.45908
CPI: 01 - Food and non-Alcoholic beverages,Italy,2015,100.0153
CPI: 01 - Food and non-Alcoholic beverages,Italy,2016,100.2083
CPI: 01 - Food and non-Alcoholic beverages,Italy,2017,102.0917
CPI: 01 - Food and non-Alcoholic beverages,Italy,2018,103.3417
CPI: 01 - Food and non-Alcoholic beverages,Italy,2019,104.1333
CPI: 01 - Food and non-Alcoholic beverages,Italy,2020,105.5917
CPI: 01 - Food and non-Alcoholic beverages,Italy,2021,106.2
CPI: 01 - Food and non-Alcoholic beverages,Italy,2022,115.9083
CPI: 01 - Food and non-Alcoholic beverages,Australia,2015,100.0
CPI: 01 - Food and non-Alcoholic beverages,Australia,2016,100.2407
CPI: 01 - Food and non-Alcoholic beverages,Australia,2017,100.312
CPI: 01 - Food and non-Alcoholic beverages,Australia,2018,100.9845
CPI: 01 - Food and non-Alcoholic beverages,Australia,2019,105.5115
CPI: 01 - Food and non-Alcoholic beverages,Australia,2020,115.3453
CPI: 01 - Food and non-Alcoholic beverages,Australia,2021,124.4688
CPI: 01 - Food and non-Alcoholic beverages,Australia,2022,134.6338
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",United States,2015,100.0
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",United States,2016,102.2838
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",United States,2017,105.8795
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",United States,2018,108.6445
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",United States,2019,112.1764
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",United States,2020,116.0051
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",United States,2021,121.1809
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",United States,2022,127.5685
CPI: 01 - Food and non-Alcoholic beverages,Slovenia,2015,99.99917
CPI: 01 - Food and non-Alcoholic beverages,Slovenia,2016,100.9183
CPI: 01 - Food and non-Alcoholic beverages,Slovenia,2017,103.1633
CPI: 01 - Food and non-Alcoholic beverages,Slovenia,2018,105.9225
CPI: 01 - Food and non-Alcoholic beverages,Slovenia,2019,107.6175
CPI: 01 - Food and non-Alcoholic beverages,Slovenia,2020,111.405
CPI: 01 - Food and non-Alcoholic beverages,Slovenia,2021,111.1842
CPI: 01 - Food and non-Alcoholic beverages,Slovenia,2022,124.8033
CPI: 03 - Clothing and footwear,United Kingdom,2015,100.0
CPI: 03 - Clothing and footwear,United Kingdom,2016,100.2
CPI: 03 - Clothing and footwear,United Kingdom,2017,102.6
CPI: 03 - Clothing and footwear,United Kingdom,2018,103.5
CPI: 03 - Clothing and footwear,United Kingdom,2019,102.6
CPI: 03 - Clothing and footwear,United Kingdom,2020,101.2
CPI: 03 - Clothing and footwear,United Kingdom,2021,101.4
CPI: 03 - Clothing and footwear,United Kingdom,2022,109.1
CPI: 03 - Clothing and footwear,Colombia,2015,100.0
CPI: 03 - Clothing and footwear,Colombia,2016,104.0641
CPI: 03 - Clothing and footwear,Colombia,2017,106.9361
CPI: 03 - Clothing and footwear,Colombia,2018,107.5025
CPI: 03 - Clothing and footwear,Colombia,2019,107.9981
CPI: 03 - Clothing and footwear,Colombia,2020,106.4046
CPI: 03 - Clothing and footwear,Colombia,2021,104.7868
CPI: 03 - Clothing and footwear,Colombia,2022,109.0341
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",Estonia,2015,100.0
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",Estonia,2016,106.372
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",Estonia,2017,115.6442
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",Estonia,2018,125.468
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",Estonia,2019,125.6645
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",Estonia,2020,123.8323
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",Estonia,2021,126.1463
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",Estonia,2022,133.1044
CPI: 01 - Food and non-Alcoholic beverages,Latvia,2015,100.0
CPI: 01 - Food and non-Alcoholic beverages,Latvia,2016,101.0696
CPI: 01 - Food and non-Alcoholic beverages,Latvia,2017,106.7194
CPI: 01 - Food and non-Alcoholic beverages,Latvia,2018,107.3351
CPI: 01 - Food and non-Alcoholic beverages,Latvia,2019,110.463
CPI: 01 - Food and non-Alcoholic beverages,Latvia,2020,113.1094
CPI: 01 - Food and non-Alcoholic beverages,Latvia,2021,115.64
CPI: 01 - Food and non-Alcoholic beverages,Latvia,2022,140.665
CPI: 03 - Clothing and footwear,Lithuania,2015,100.0
CPI: 03 - Clothing and footwear,Lithuania,2016,101.327
CPI: 03 - Clothing and footwear,Lithuania,2017,102.0306
CPI: 03 - Clothing and footwear,Lithuania,2018,102.1463
CPI: 03 - Clothing and footwear,Lithuania,2019,101.0185
CPI: 03 - Clothing and footwear,Lithuania,2020,100.3502
CPI: 03 - Clothing and footwear,Lithuania,2021,101.7007
CPI: 03 - Clothing and footwear,Lithuania,2022,105.2592
CPI: 01 - Food and non-Alcoholic beverages,Colombia,2015,100.0
CPI: 01 - Food and non-Alcoholic beverages,Colombia,2016,113.1091
CPI: 01 - Food and non-Alcoholic beverages,Colombia,2017,113.8877
CPI: 01 - Food and non-Alcoholic beverages,Colombia,2018,114.8331
CPI: 01 - Food and non-Alcoholic beverages,Colombia,2019,120.44
CPI: 01 - Food and non-Alcoholic beverages,Colombia,2020,127.1263
CPI: 01 - Food and non-Alcoholic beverages,Colombia,2021,139.4902
CPI: 01 - Food and non-Alcoholic beverages,Colombia,2022,174.3086
"CPI: 04 - Housing, water, electricity, gas and other fuels",Korea,2015,100.0
"CPI: 04 - Housing, water, electricity, gas and other fuels",Korea,2016,99.18523
"CPI: 04 - Housing, water, electricity, gas and other fuels",Korea,2017,100.866
"CPI: 04 - Housing, water, electricity, gas and other fuels",Korea,2018,101.5768
"CPI: 04 - Housing, water, electricity, gas and other fuels",Korea,2019,102.7478
"CPI: 04 - Housing, water, electricity, gas and other fuels",Korea,2020,103.2742
"CPI: 04 - Housing, water, electricity, gas and other fuels",Korea,2021,104.9637
"CPI: 04 - Housing, water, electricity, gas and other fuels",Korea,2022,110.7041
CPI: 01-12 - All items,Germany,2015,100.0
CPI: 01-12 - All items,Germany,2016,100.4917
CPI: 01-12 - All items,Germany,2017,102.0087
CPI: 01-12 - All items,Germany,2018,103.7756
CPI: 01-12 - All items,Germany,2019,105.2759
CPI: 01-12 - All items,Germany,2020,105.4284
CPI: 01-12 - All items,Germany,2021,108.6615
CPI: 01-12 - All items,Germany,2022,116.1294
CPI: 01 - Food and non-Alcoholic beverages,South Africa,2015,100.0
CPI: 01 - Food and non-Alcoholic beverages,South Africa,2016,111.6497
CPI: 01 - Food and non-Alcoholic beverages,South Africa,2017,119.2801
CPI: 01 - Food and non-Alcoholic beverages,South Africa,2018,123.0354
CPI: 01 - Food and non-Alcoholic beverages,South Africa,2019,127.4025
CPI: 01 - Food and non-Alcoholic beverages,South Africa,2020,132.9934
CPI: 01 - Food and non-Alcoholic beverages,South Africa,2021,141.1038
CPI: 01 - Food and non-Alcoholic beverages,South Africa,2022,154.2052
CPI: 01 - Food and non-Alcoholic beverages,Switzerland,2015,100.0
CPI: 01 - Food and non-Alcoholic beverages,Switzerland,2016,100.3905
CPI: 01 - Food and non-Alcoholic beverages,Switzerland,2017,100.8072
CPI: 01 - Food and non-Alcoholic beverages,Switzerland,2018,102.0794
CPI: 01 - Food and non-Alcoholic beverages,Switzerland,2019,102.1939
CPI: 01 - Food and non-Alcoholic beverages,Switzerland,2020,102.2884
CPI: 01 - Food and non-Alcoholic beverages,Switzerland,2021,100.661
CPI: 01 - Food and non-Alcoholic beverages,Switzerland,2022,102.3309
CPI: 01-12 - All items,Denmark,2015,100.0
CPI: 01-12 - All items,Denmark,2016,100.25
CPI: 01-12 - All items,Denmark,2017,101.4
CPI: 01-12 - All items,Denmark,2018,102.225
CPI: 01-12 - All items,Denmark,2019,103.0
CPI: 01-12 - All items,Denmark,2020,103.4333
CPI: 01-12 - All items,Denmark,2021,105.35
CPI: 01-12 - All items,Denmark,2022,113.4583
CPI: 01 - Food and non-Alcoholic beverages,Luxembourg,2015,100.0017
CPI: 01 - Food and non-Alcoholic beverages,Luxembourg,2016,101.5308
CPI: 01 - Food and non-Alcoholic beverages,Luxembourg,2017,104.39
CPI: 01 - Food and non-Alcoholic beverages,Luxembourg,2018,106.6983
CPI: 01 - Food and non-Alcoholic beverages,Luxembourg,2019,108.1942
CPI: 01 - Food and non-Alcoholic beverages,Luxembourg,2020,111.1442
CPI: 01 - Food and non-Alcoholic beverages,Luxembourg,2021,112.14
CPI: 01 - Food and non-Alcoholic beverages,Luxembourg,2022,120.0075
CPI: 03 - Clothing and footwear,Finland,2015,99.99583
CPI: 03 - Clothing and footwear,Finland,2016,99.36166
CPI: 03 - Clothing and footwear,Finland,2017,98.19666
CPI: 03 - Clothing and footwear,Finland,2018,97.04166
CPI: 03 - Clothing and footwear,Finland,2019,96.54916
CPI: 03 - Clothing and footwear,Finland,2020,96.12833
CPI: 03 - Clothing and footwear,Finland,2021,94.87083
CPI: 03 - Clothing and footwear,Finland,2022,96.79916
CPI: 03 - Clothing and footwear,Sweden,2015,100.0
CPI: 03 - Clothing and footwear,Sweden,2016,103.3829
CPI: 03 - Clothing and footwear,Sweden,2017,103.1049
CPI: 03 - Clothing and footwear,Sweden,2018,102.8697
CPI: 03 - Clothing and footwear,Sweden,2019,101.595
CPI: 03 - Clothing and footwear,Sweden,2020,101.0892
CPI: 03 - Clothing and footwear,Sweden,2021,105.255
CPI: 03 - Clothing and footwear,Sweden,2022,109.5254
"CPI: 04 - Housing, water, electricity, gas and other fuels",United Kingdom,2015,100.0
"CPI: 04 - Housing, water, electricity, gas and other fuels",United Kingdom,2016,101.6
"CPI: 04 - Housing, water, electricity, gas and other fuels",United Kingdom,2017,103.7
"CPI: 04 - Housing, water, electricity, gas and other fuels",United Kingdom,2018,105.7
"CPI: 04 - Housing, water, electricity, gas and other fuels",United Kingdom,2019,107.4
"CPI: 04 - Housing, water, electricity, gas and other fuels",United Kingdom,2020,108.4
"CPI: 04 - Housing, water, electricity, gas and other fuels",United Kingdom,2021,110.6
"CPI: 04 - Housing, water, electricity, gas and other fuels",United Kingdom,2022,120.1
"CPI: 04 - Housing, water, electricity, gas and other fuels",Greece,2015,100.0
"CPI: 04 - Housing, water, electricity, gas and other fuels",Greece,2016,96.81952
"CPI: 04 - Housing, water, electricity, gas and other fuels",Greece,2017,98.91859
"CPI: 04 - Housing, water, electricity, gas and other fuels",Greece,2018,98.98495
"CPI: 04 - Housing, water, electricity, gas and other fuels",Greece,2019,98.87225
"CPI: 04 - Housing, water, electricity, gas and other fuels",Greece,2020,95.14941
"CPI: 04 - Housing, water, electricity, gas and other fuels",Greece,2021,100.2175
"CPI: 04 - Housing, water, electricity, gas and other fuels",Greece,2022,124.3237
CPI: 01-12 - All items,Poland,2015,100.0
CPI: 01-12 - All items,Poland,2016,99.33524
CPI: 01-12 - All items,Poland,2017,101.3974
CPI: 01-12 - All items,Poland,2018,103.2357
CPI: 01-12 - All items,Poland,2019,105.5352
CPI: 01-12 - All items,Poland,2020,109.0965
CPI: 01-12 - All items,Poland,2021,114.6113
CPI: 01-12 - All items,Poland,2022,131.1491
CPI: 01 - Food and non-Alcoholic beverages,Russia,2015,100.0
CPI: 01 - Food and non-Alcoholic beverages,Russia,2016,105.7643
CPI: 01 - Food and non-Alcoholic beverages,Russia,2017,108.6208
CPI: 01 - Food and non-Alcoholic beverages,Russia,2018,110.3766
CPI: 01 - Food and non-Alcoholic beverages,Russia,2019,116.6378
CPI: 01 - Food and non-Alcoholic beverages,Russia,2020,121.6828
CPI: 01 - Food and non-Alcoholic beverages,Russia,2021,133.3702
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",Portugal,2015,100.0
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",Portugal,2016,102.6115
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",Portugal,2017,105.2503
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",Portugal,2018,107.6273
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",Portugal,2019,109.7947
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",Portugal,2020,110.3634
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",Portugal,2021,111.3944
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",Portugal,2022,114.2635
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",New Zealand,2015,100.0
